	doc_id	adjudicator_id	label	text
595	596	kaikeins	E	This one from Spain should really be easy. They called it Knight of the Night, but its true name is what?
647	648	kaikeins	SL	If the Taiwanese director doesn’t win an Oscar, hell ________________.
960	961	ehansellbaum	AL	Which of these is considered the first Gothic heroine ever?
338	339	mhannon	SL	Which of the following coaches is known as the all time winningest basketball coach in NCAA history?
564	565	kaikeins	G	The prime meridian passes through Australia.
65	66	ehansellbaum	AL	Printer steganography is a type of steganography where tiny yellow dots are added to each page.
361	362	mhannon	E	Which actress was box office poison because of her series of movie flops and negative fan polls?
977	978	ehansellbaum	G	In which of these U.S. states is there a town called Iron City?
754	755	thientran	SL	Whenever I see five toes, I know _____________.
319	320	mhannon	SN	A baby kangaroo is called a joey.
90	91	ehansellbaum	E	What city in Louisiana was Fletch going to in the comedy movie Fletch Lives?
454	455	kaikeins	E	During the first Academy Awards, Warner Brothers got an Honorary Award for The Jazz Singer. What individual got an Honorary Award as well?
642	643	kaikeins	SN	What innovation did the Hudson Motor Car Company introduce in 1948 that almost all manufacturers would adopt in their vehicles?
758	759	thientran	H	Is it true that Bichons were court dogs during the Middle Ages?
60	61	ehansellbaum	E	In what famous series did William Powell play a detective?
329	330	mhannon	E	This movie title is translated into German as Floppy Coppers Don’t Bite or Yellow Coppers Don’t Bite.
364	365	mhannon	H	In 1984, this cleric and activist became the second South African to win the Nobel Peace Prize.
768	769	thientran	E	In the movie L.A Confidential, Kim Basinger portrays a prostitute who is this actress look-alike.
543	544	kaikeins	H	What was the approximate population of the United States at the time of the first census?
539	540	kaikeins	AL	In 2006, the creator of the FoxTrot comic-strip stopped making a daily publication and switched to a Sunday only format.
612	613	kaikeins	E	What sci-fi epic, directed by Peter Jackson, became the third movie to win all eleven Academy Awards for which it was nominated?
828	829	thientran	H	In September 1984, Western Australia became the last Australian state to abolish capital punishment. When was it last used in the country?
856	857	thientran	E	What Hollywood actress starred opposite Matthew Perry in the 1997 romantic comedy Fools Rush In?
48	49	ehansellbaum	SN	Bats are blind.
533	534	kaikeins	AL	Who was Jane Austens closest friend and confidante?
638	639	kaikeins	E	In what country was action star Bruce Lee born?
577	578	kaikeins	E	What was the name of the machine Skeeters mother bought to straighten her hair in The Help?
53	54	ehansellbaum	H	Audrey Hepburns parents were members of the British Union of Fascists.
123	124	ehansellbaum	E	What thriller set in Mexico and directed by Tony Scott, starred Kevin Costner, Madeleine Stowe and Anthony Quinn?
885	886	thientran	H	This USA Senator was born in Illinois. His father was Irish/American and his mother was born in Lithuania.
887	888	thientran	E	In 2012, this actor married Hilaria Thomas, an instructor with Yoga Vida in Manhattan, who is 26 years his junior.
164	165	ehansellbaum	E	In the strategy game Battle Nations, the Wimp has the highest possible attack off any unit.
52	53	ehansellbaum	AL	Who wrote Chopping Spree, Double Shot and The Cereal Murders?
512	513	kaikeins	AL	Define absentee.
877	878	thientran	AL	What pattern of bullet holes did Sherlock Holmes create on the interior wall of his lodgings, apparently just for pistol shooting practice?
148	149	ehansellbaum	H	This US general was nicknamed Old Blood and Guts.
173	174	ehansellbaum	G	What measurement system is commonly used in the United States?
310	311	mhannon	E	In the animated film One Hundred and One Dalmatians, what distracts the Baduns long enough to allow Sergeant Tibbs to flee with the puppies?
261	262	mhannon	SN	This person described both the Silurian and Permian systems during the 19th century.
204	205	mhannon	G	One of the first things youll notice at the Beijing airport is __________________.
550	551	kaikeins	H	When did Alexander the Great found the city of Alexandria?
293	294	mhannon	AL	Who wrote the 2006 novel The Inheritance of Loss?
32	33	ehansellbaum	AL	This is the fear of church or going to church
626	627	kaikeins	H	What store contacted Mrs. Sara Lee Creech in 1950 and invited her to a meeting?
518	519	kaikeins	SN	The clue words are Diaphragm, Mind and Nerve. Guess the password.
423	424	kaikeins	H	Who was the first ruler to be crowned as Tsar of All Russia?
327	328	mhannon	SN	What is the subject of study of the science called ethnoornithology?
864	865	thientran	E	The 2010 Oscar for Best Picture and Best Director went to The Hurt Locker, a movie set during this war.
782	783	thientran	SN	What is lateral epicondylitis commonly known as?
909	910	ehansellbaum	AL	At the Junior League Benefit, fictional character Celia Foote accidentally tears Hillys gown. What social faux pas does she commit next?
718	719	thientran	E	John Cleese co-wrote the comedy series Fawlty Towers with which other member of the cast?
22	23	ehansellbaum	E	This redhead playwright became the first person in history to be awarded both a Nobel Prize and an Oscar, for his contributions to literature and for his work on the film Pygmalion.
881	882	thientran	H	Who was the 10th U.S. President?
879	880	thientran	E	The Sunny Classroom is the Japanese title of this American movie.
733	734	thientran	E	Billy Wilder co-wrote many screenplays with I.A.L. Diamond. Which of these was not one of them?
622	623	kaikeins	H	The Cambridge Five was a ring of Soviet spies based in the UK.
302	303	mhannon	E	What was the name of the restaurant Jethro opened in an episode of The Beverly Hillbillies?
46	47	ehansellbaum	SN	Some of the the most famous rubies in crown jewels around the world, including the Black Princes Ruby and the Timur Ruby in the British Crown Jewels, are actually what kind of mineral?
245	246	mhannon	AL	These were the last words spoken by Oscar Wildes character Dorian Grey, before the servants found his body, stabbed in the heart and suddenly aged.
270	271	mhannon	SL	Australian Sydney Cavill is credited as the originator of this swimming stroke, which was first swum in competition in 1933 and is the newest of the four major strokes.
998	999	ehansellbaum	AL	Who did Warriors character Fireheart save in the fire?
670	671	thientran	SN	In what geographical area are chimpanzees found naturally?
694	695	thientran	G	The Pyramid of Giza is the oldest of the Seven Wonders of the Ancient World, and the only one to remain largely intact till present day.
485	486	kaikeins	H	On and near what island in the Soloman Island group was the Japanese advance in the South Pacific stopped in 1943, after about six months of brutal fighting between the land and naval force of the US and Japan?
541	542	kaikeins	AL	If you break a string on your guitar dont ___________.
832	833	thientran	AL	Enid Blyton wrote 15 Secret Seven books. Which of the following is the title of a real Secret Seven book?
606	607	kaikeins	E	Airport Attack is the Portuguese title of this movie.
905	906	ehansellbaum	H	Mildred Fish Harnack was the only American woman executed for treason by Hitler.
161	162	ehansellbaum	E	Actor Matthew Perry had a relationship with this Oscar-winning actress before she married her second husband.
294	295	mhannon	G	William Tell, who, according to legend shot an apple off the head of his son, is a folk hero of this country.
722	723	thientran	E	Odelay, Mellow Gold and Guero make a rainy day feel like L.A., so I have a healthy dose of this artist on my IPod and on call. Can you name him?
587	588	kaikeins	E	Gene Kelly quit dancing when he was eight and didnt dance again until he was fifteen.
236	237	mhannon	E	Which Disney character, voiced by Jodi Benson, falls in love with a man named Eric?
599	600	kaikeins	E	The Teeth From the Sea is the French title of this movie.
750	751	thientran	E	Cheerio, Id better be... shoveling off; Business is a little dead tonight were phrases uttered by the the friendly undertaker on what show?
6	7	ehansellbaum	SL	A drunk guy is sitting in a bar. There is a very buxom lady a few seats down. A fellow at the end of the bar calls for a beer. The bartender fills the mug and slides it down the bar. It hits the ladys breasts and spills all over them. The bartender goes over, retrieves the glass and licks the beer off of her breasts. This happens a couple more times. The next time, the drunk jumps up and starts to lick her breasts. She decks him. Hes laying on the floor and moans, Why do you let the bartender do it? _____________________
871	872	thientran	AL	Agatha Christie wrote a story called The Love Detectives, featuring a Mr Harley Quin.
490	491	kaikeins	H	Which of these famous people was born in New York City?
106	107	ehansellbaum	E	What ballet tells the story of a peasant girl whose ghost protects her lover after her premature death?
118	119	ehansellbaum	AL	In which book the main hero discovers that she is a descendant of the Merovingian blood line as well as Jesus Christ.
350	351	mhannon	AL	New Atlantis is a novel by Sir Francis Bacon.
915	916	ehansellbaum	E	In what country was actress Gwyneth Paltrow born?
729	730	thientran	E	Which of these is a characteristic trait of waltz?
70	71	ehansellbaum	AL	What is the name of the nymph that transformed herself into a goat in order to feed Zeus when he was a baby?
787	788	thientran	H	Saint Clare of Assisi founded the Order of Poor Ladies.
553	554	kaikeins	AL	In Bluestars Prophecy, why was there a battle between Windclan and Thunderclan, in which Moonflower lost her life?
876	877	thientran	SL	What country won the most gold medals at the 2010 Winter Olympics, held in Vancouver, Canada?
799	800	thientran	AL	Dante Alighieri was an Italian poet from Florence. What was his other occupation?
825	826	thientran	AL	One of Enid Blytons first books, The Secret Island, had four sequels. Which of the following is not one of them?
838	839	thientran	H	He led the Union march through Georgia, burning everything in his path.
352	353	mhannon	SN	What does the diet of sparrows mainly consist of?
372	373	mhannon	E	In a scene from this 2007 movie, Keira Knightleys character is carrying freshly picked flowers and is wearing a floral-print blouse.
933	934	ehansellbaum	G	What city houses Hans Giengs famous statue of Lady Justice?
804	805	thientran	SN	Almonds and what other fruits belong to the Rosacae (rose) family?
247	248	mhannon	E	Play me the Song of Death is a title inspired by a line from this movie.
432	433	kaikeins	H	Which was the father of the mystery ruler Merovey according the legend.
424	425	kaikeins	SN	A mackerel lays only one egg at a time.
460	461	kaikeins	H	What term used in diplomacy indicates a proscription against a person entering the country?
107	108	ehansellbaum	AL	The world of Narnia created by C.S. Lewis contained the land of Narnia and several others. Which of the following is not in the land of Narnia?
707	708	thientran	E	In the TV series Mission: Impossible, if a team member was caught or killed, who was going to disavow any knowledge of their actions?
621	622	kaikeins	H	At the age of 14 she became the youngest-ever female Olympic champion in swimming. She is the first female swimmer to have ever won the same swimming event at 3 consecutive Summer Olympics.
893	894	thientran	H	Who established himself as ruler of Egypt following Alexander the Greats death?
650	651	thientran	SN	Which of these animals is not studied by arachnology?
337	338	mhannon	AL	What is the name of the Roman goddess of luck and fate?
810	811	thientran	H	Lucy Adams Hart went to Washington to persuade President Lincoln into bringing her husband home during Civil War.
548	549	kaikeins	H	Diplomacy can be defined as the art and practice of conducting negotiations between representatives of groups or nations.
88	89	ehansellbaum	AL	What is the name of Harry Potters mean cousin?
180	181	ehansellbaum	SL	In a relay race, which swimmer is called an anchor?
359	360	mhannon	E	She posed herself as a princess from Java and her stage-name meant “sun” or “eye of the dawn”.
517	518	kaikeins	E	Which gangster film is based on the non-fiction book Wiseguy by Nicholas Pileggi?
867	868	thientran	AL	In this novel by Honoré de Balzac, a criminal-in-hiding named Vautrin tells naive law student Eugène de Rastignac that he is making him an offer that he cannot refuse.
101	102	ehansellbaum	H	The Greek God Hermes bust was discovered at Olympia.
542	543	kaikeins	E	Which movie title was translated in China as Who Is Face Belonging To? I Kill You Again, Harder!?
801	802	thientran	SN	This is the fear of laughter.
620	621	kaikeins	E	Breaking the Ice is the Spanish title of this movie.
210	211	mhannon	SL	What flavor does the popular German liqueur Barenfang have?
491	492	kaikeins	AL	This Gothic heroine left the love of her life when she discovered he was already married but they reunited in the end.
136	137	ehansellbaum	H	All of which unmarked birds in England are owned by Queen Elizabeth II?
949	950	ehansellbaum	AL	Who was Agatha Christies second husband?
8	9	ehansellbaum	SL	This mushroom walks into a bar and starts hitting on this woman. She, of course, turns him down. Not willing, to give up, he pleads with her, ____________________
666	667	thientran	H	This Treaty of Paris forced the Spanish to remove their forces from the Lombardy region of northern Italy.
40	41	ehansellbaum	E	Paladin got into the gunfighting business while trying to settle a gambling debt.
174	175	ehansellbaum	E	What does the word Argo refer to in Ben Afflecks dramatic thriller Argo?
735	736	thientran	E	In the Oscar-winning movie Life of Pi, Pi was named by his father after which of the following?
732	733	thientran	E	Who stars as a private eye and former Secret Service agent in Tony Scotts action movie The Last Boy Scout?
863	864	thientran	SN	What statement is true about dolphins?
687	688	thientran	H	Memorial Day was first enacted to honor soldiers who died in what war?
394	395	mhannon	E	Name the 2004 movie in which Val Kilmer portrayed former Marine Recon Master Gunnery Sergeant Robert Scott.
802	803	thientran	H	What was the original name of the US federal holiday known as Memorial Day?
177	178	ehansellbaum	E	This show was vaudevillian in nature and featured Wally Cox, Arnold Stang and, Buddy Hackett. It only lasted from January to April 1949 and only one episode of the show has survived.
244	245	mhannon	H	In what country were diamonds mined for the first time in human history?
847	848	thientran	SN	Which word refers to the footprint of large animals?
776	777	thientran	E	Which of these singers has Chris Brown cited as an inspiration?
111	112	ehansellbaum	E	#2 on the list of highest-grossing films is the only one from the 21st century. It features weird colorful figures. It grossed $2,782,300,000.
410	411	kaikeins	E	In what movie did Hugh Grant portray the godson of Lord Darlington?
459	460	kaikeins	E	This singer had a #1 U.S hit in 1988 with the song Right Here Waiting.
206	207	mhannon	E	Twiggy appeared in this comedy starring Robin Williams.
914	915	ehansellbaum	H	What war was launched in 2001 as Operation Enduring Freedom?
765	766	thientran	G	This city, located north of the Dead Sea, is the lowest permanently inhabited site in the world.
588	589	kaikeins	E	Who controls the weather with their weapon and is the navigator of the fictional Strawhat Pirates?
287	288	mhannon	H	At the second meeting of the Inter-racial Council, Ms. Sara Lee Creech asked some of the black parents why they would want their children to play with white dolls. What was the parents answer?
159	160	ehansellbaum	E	In which of these films has Eva Longoria appeared?
935	936	ehansellbaum	E	The actor who played this Star Trek character also starred on the television series CHiPS in the late 1970s - early 1980s.
469	470	kaikeins	E	What is the name of the company that developed the KF game?
743	744	thientran	SL	She got fired from the hot dog stand for ________________.
579	580	kaikeins	H	Who was was the first member of the British royal family to marry in a civil ceremony in England?
284	285	mhannon	E	What actress plays a character who cuts her wrists in a suicide attempt, fakes a pregnancy, kidnaps a child and boils a pet bunny?
680	681	thientran	AL	Queen Elizabeth I asked Shakespeare to write this play, which gave us the term Go-between.
774	775	thientran	E	Sophia Loren is the artistic name of Sofia Villani Scicolone.
171	172	ehansellbaum	E	Joseph  Gordon-Levitt and  Zooey Deschanel star in this romantic movie about a young man falling for a woman who does not believe in true love.
114	115	ehansellbaum	AL	In the classic French novel The Three Musketeers, young dArtagnan goes to England to retrieve Queen Annes diamond studs and protect her honor. Who had the Queen given the two diamond studs?
9	10	ehansellbaum	E	Help! My Pretend Boyfriend Is Gay! is the actual Chinese title of this film.
663	664	thientran	E	In the movie Donovans Reef, John Waynes character gave a house to his old shipmate as a wedding present.
855	856	thientran	E	Where was the secret entrance to the New York offices of U.N.C.L.E. on the TV show The Man from U.N.C.L.E.?
859	860	thientran	H	Zeus possessed power over the sky.
798	799	thientran	SN	Poisonous snakes cause the largest number or animal-related human deaths worldwide.
374	375	mhannon	SL	I didnt like my beard at first. (Provide the next sentence)
812	813	thientran	E	Who was born Stefani Joanne Angelina Germanotta?
723	724	thientran	E	What Canadian director and producer created the comedy movie Ghostbusters?
358	359	mhannon	E	Which of the following films does not star Marlene Dietrich?
170	171	ehansellbaum	AL	Which author created these characters: Celeste Chalfonte, Nickle, and sisters Juts and Weezy?
158	159	ehansellbaum	E	There were very few fight scenes on the show The Wild Wild West.
873	874	thientran	AL	Which of the following characters did NOT die at some point of the Harry Potter series?
50	51	ehansellbaum	E	Where did the Clique characters meet?
49	50	ehansellbaum	H	What part of an Egyptian pharaohs body was never allowed to be seen?
529	530	kaikeins	AL	Which knight of the Round Table is raised by the Lady of the Lake after the death of his father?
74	75	ehansellbaum	AL	At the battle of Bosworth Field, this Shakespearean character uttered the often-quoted words, A horse, a horse, my kingdom for a horse!.
845	846	thientran	E	Who recorded the 2000 song Come On Over Baby (All I Want Is You)?
546	547	kaikeins	SL	He is a fashion designer and film director. His name has been synonymous with controversy since his days at Gucci, but with the release of the provocative images for his Men fragrance, he pushed sexual boundaries like never before.
20	21	ehansellbaum	E	What year did the original movie named Cape Fear come out?
486	487	kaikeins	E	It seems the Czech Republic had its own take on this movie since they called it Santa Is A Pervert. Whats the real name?
77	78	ehansellbaum	H	When this historical figure married the Duke of Orléans (Henry II of France) in 1533, she brought with her to France some Italian chefs who had recipes for flavoured ices or sorbets.
726	727	thientran	E	Mathew Perry misses a part of which organ of his body due to an accident?
970	971	ehansellbaum	H	What mythical Christian patriarch was believed to have ruled over a Christian nation lost amidst the Muslims and pagans?
480	481	kaikeins	E	When playing KF online you cannot play the same character if someone else is already playing him.
554	555	kaikeins	H	What do Richard F. Heck, Mario Vargas Llosa, Liu Xiaobo and Robert G. Edwards have in common?
322	323	mhannon	SN	The consumption of garlic causes halitosis, or non-bacterial bad breath. The consumption of which of the following is recommended to avoid or tone down the condition?
778	779	thientran	SN	What does conchology study?
131	132	ehansellbaum	E	Michael Moore won an Academy Award for Best Documentary Feature for his film about the Columbine High School massacre. What activity that both shooters took part in did Michael Moore incorporate in the title of his film?
37	38	ehansellbaum	G	The 2010 eruption of the Eyjafjallajökull volcano, located in this country, caused extensive air travel disruption.
659	660	thientran	SL	Most of this designers collections make references to the fashion of past decades of the 20th century. Oscar de la Renta has accused him of being a mere copyist.
630	631	kaikeins	E	What movie was titled Sexy Dance in France?
286	287	mhannon	AL	Who wrote Playing for Pizza, The Brethren, and The Street Lawyer?
580	581	kaikeins	G	The national motto of Guatemala is Libre Crezca Fecundo. What does iy mean?
376	377	mhannon	AL	In The League of Frightened Men, Archie Goodwin uses the term viva voce incorrectly. What does viva voce mean?
96	97	ehansellbaum	H	He was a great economist and a fine mathematician. His ideas revolutionized the field of economy. His last words were: I wish Id drunk more champagne.
613	614	kaikeins	E	What is the occupation of Javier Bardems character in Woody Allens 2008 movie Vicky Cristina Barcelona?
556	557	kaikeins	AL	According to a theory revealed in The Man from U.N.C.L.E. novels, THRUSH was started by Nazi war criminals that had fled to South America.
73	74	ehansellbaum	SN	Mixed hot gases, during firefighting operations, can result in an explosive ignition. What is this ignition called?
274	275	mhannon	H	There are no other worlds to conquer were the last words of this great leader as he finished his conquests from Macedonia through what is now  Pakistan.
381	382	mhannon	H	Which of these is not a battle of the Seven Days Battles?
416	417	kaikeins	H	He ruled Italy from 1922 to 1943 and imposed a fascist regime through state terror and propaganda.
924	925	ehansellbaum	E	Delicate Orbs of Womanhood Bigger Than Your Head Can Hurt You was the Chinese title of this movie remake.
280	281	mhannon	AL	In Roman mythology, the god Orcus was regarded as the punisher of which of the following?
892	893	thientran	H	Who was the President of the US during the Mexican-American War?
79	80	ehansellbaum	E	What group from the 70s recorded the song Night Fever?
561	562	kaikeins	SN	A large part of mined diamonds are used for the industrial purposes of cutting, drilling, grinding, and polishing.
686	687	thientran	AL	In The Help, what did Hilly find covering her front yard, after Skeeter printed the wrong word in the Junior Leagues newsletter?
724	725	thientran	H	What hurricane made landfall in South Florida on Friday, August 13, 2004?
983	984	ehansellbaum	E	In the movie Back to the Future part 2, in the Alternate 1985, what was different about Jennifers house?
291	292	mhannon	E	This Oscar-winning actress and Winona Ryder were once roommates and close friends, but they reportedly grew apart because of a movie role.
789	790	thientran	E	A man foolishly lets his brother overstay his welcome in his home. His wife leaves him as a result. That is the basic plot of this 2009 Coen Brothers film.
955	956	ehansellbaum	AL	This is the fear of opinions.
869	870	thientran	E	What is the name of the woman on the flight with Fletch in the movie Fletch Lives?
591	592	kaikeins	AL	Who wrote the romantic Sanskrit novel Kadambari?
265	266	mhannon	AL	What Italian painter of the early Renaissance and died at the age of 27?
243	244	mhannon	E	Which character is not correctly matched with the ballet?
919	920	ehansellbaum	SL	This prominent fashion designer introduced man-skirts and designed sculptured costumes for Madonna.
971	972	ehansellbaum	AL	In which novel does a fictional totalitarian government use brainwashing-style techniques to erase nonconformist thought?
332	333	mhannon	E	What film studio cancelled Elizabeth Taylors contract after its production chief stated that She cant sing, she cant dance, she cant perform.?
479	480	kaikeins	E	Which of these famous actors was born in the U.S. state of Delaware?
132	133	ehansellbaum	AL	What painting by Pablo Picasso sold for US$106.5 million in 2010, setting a new world record for the most expensive work of art sold at auction?
605	606	kaikeins	H	From 1832-1835 there was an independent nation called The Indian Stream Republic in what is now New Hampshire.
199	200	ehansellbaum	E	What movie was released in Japan under the title Sunny Classroom?
984	985	ehansellbaum	E	Which part did John Cleese play in the BBCs Television Shakespeare series?
228	229	mhannon	SN	The Alligator Gar is the largest exclusively freshwater fish found in North America.
807	808	thientran	SN	Which animals are the subject of study of the science called apiology?
596	597	kaikeins	H	This 62 man was the first U.S. President who suffered from Brights Disease.
616	617	kaikeins	AL	Santas helpers are ________________.
163	164	ehansellbaum	E	A wax sculpture at the London Madame Tussauds museum depicts Amy Winehouse lying in a pool of blood with an apple and a bullet hole in her head. The statue is a recreation of this American authors accidental manslaughter of his wife Joan Vollmer.
644	645	kaikeins	E	What musician was knighted by Queen Elizabeth II on March 11, 1997?
209	210	mhannon	H	Besides his six marriages, this king is known for his role in the separation of the Church of England from the Roman Catholic Church.
42	43	ehansellbaum	AL	When Thomas came home from the movies, he was asked who he went with. He replied with this riddle: my sisters brothers fathers wifes sisters son.  Who did he go to the movies with?
575	576	kaikeins	SN	A cat loses heat through its whiskers.
759	760	thientran	E	The 1997 movie The Rainmaker, directed by Francis Ford Coppola, was based on the novel of the same by which celebrated author?
695	696	thientran	SN	If the Antarctic ice sheet were to melt, by how much would sea levels rise?
162	163	ehansellbaum	H	Big Bens 150th anniversary was in May 2009.
520	521	kaikeins	E	Twiggys first husband, actor Michael Witney, died of a heart attack
641	642	kaikeins	E	How many tiers of The Infected are there in the game Battle Nations?
889	890	thientran	E	In China they called this movie Night In The Cramped Forest. What is its real title?
492	493	kaikeins	E	Bruce Lee was able to throw rice grains into the air and them catch them using which of the following?
182	183	ehansellbaum	AL	This pioneer of the Beat generation earned a scholarship for Columbia University due to his athletic skills as a running back in American football. After cracking a tibia his football career was over and he dropped out of university.
929	930	ehansellbaum	AL	Sailors prayed to this Greek god for a safe voyage, sometimes drowning horses as a sacrifice.
706	707	thientran	E	Which of these producers has Chris Brown worked with?
547	548	kaikeins	G	Dolmabahçe Palace is located in the Asian part of Istanbul.
760	761	thientran	E	Who voices Lenny in the 2004 comedy movie Shark Tale?
709	710	thientran	H	This 12 doll, introduced by Ideal Toy Co. in 1956, was the first of the 50s glamour dolls. She was double marketed by Ideal and a trusted cosmetic company.
883	884	thientran	H	According to a mythological story, Zeus was cheating on his wife Hera with a nymph called Io. Just before Hera caught them, Zeus transformed Io into what animal to hide her true identity?
527	528	kaikeins	H	Veni, vidi, vici is a Latin sentence reportedly written by in 47 BC by this Roman statesman.
827	828	thientran	H	What is the last name of the first pair of brothers who have both been taken number one in the NFL draft?
809	810	thientran	SN	If  two systems are in thermodynamic equilibrium with a third system then they are in thermodynamic equilibrium with each other. Which law is this?
597	598	kaikeins	SL	I wondered why the baseball kept getting bigger. Add the next 4-word sentence.
558	559	kaikeins	E	At the beginning of Toy Story 3, Andy is 17 and packing for college. What does he intend to do with his toys?
937	938	ehansellbaum	E	What was Cary Grants birth name?
353	354	mhannon	AL	Conan Doyle described his character Colonel Sebastian Moran as the Napoleon of Crime.
354	355	mhannon	SL	Those who jump off a Paris bridge are ________.
865	866	thientran	AL	Tempted by the White Witchs promise of power, this character betrays his siblings in the novel The Lion, the Witch and the Wardrobe.
911	912	ehansellbaum	E	Jennifer Lawrence, who won the Academy Award for Best Actress for her role in Silver Linings Playbook, achieved international recognition as the heroine Katniss Everdeen in this movie.
611	612	kaikeins	H	What Roman philosopher and dramatist was tutor and later advisor to emperor Nero?
189	190	ehansellbaum	E	Corey Haims first movie role was in 1985s Secret Admirer.
100	101	ehansellbaum	H	Known as The Victory Stone, it was said to be Alexander the Greats favourite gemstone.
928	929	ehansellbaum	E	Which action film, primarily set on Alcatraz Island, is dedicated to producer Don Simpson who died five months before its release?
122	123	ehansellbaum	AL	Who wrote Kane and Abel, Paths of Glory, and False Impressions?
422	423	kaikeins	E	Jethro was Jed Clampetts nephew on the Beverly Hillibillies.
34	35	ehansellbaum	G	Mostly completed in 2008 and located on the Yangtze River, what construction marvel is billed as the Worlds Largest Electricity-Generating Plant?
890	891	thientran	E	This show originally aired from 1972 to 1981 and was based on a book called Spencers Mountain by Earl Hamner Jr. It starred Ralph Waite and Ellen Corby among others.
590	591	kaikeins	SL	A grenade thrown into a kitchen in France would result in _______________.
102	103	ehansellbaum	E	A character in the movie High School Musical is named Sharpay. Is there a dog breed with the same name?
628	629	kaikeins	AL	Who wrote Bone by Bone, The Judas Goat, and Mallorys Oracle?
368	369	mhannon	AL	What is the name of the proud Queen of the fairies in Shakespeares comedy A Midsummer Nights Dream?
385	386	mhannon	H	This 11 to 20 tall rubber doll came out in the early 1950s. What was its name and what could it do after it drank its bottle and you squeezed its tummy?
14	15	ehansellbaum	G	What is the official language of the country Guatemala?
369	370	mhannon	E	What faith was Bing Crosby a member of?
119	120	ehansellbaum	SL	This this former LSU star was the first number one draft choice to sign with the AFL rather than the NFL.
55	56	ehansellbaum	E	This American epic romance and disaster film was directed by James Cameron and stars Leonardo Di Caprio.
442	443	kaikeins	E	If you want to quit the KF game and play later you can always save your game and continue from where you left off.
303	304	mhannon	E	Magician’s assistants are _______________.
761	762	thientran	SL	A three-legged dog walked into a saloon in the Old West. He sidled up to the bar and announced, “Im looking for the man ____________.
537	538	kaikeins	E	Pavarottis last performance on stage was at the 2006 Winter Olympics in Turin.
631	632	kaikeins	SN	The seeds of this woody climbing vine or shrub yield a glycoside which can be toxic in large quantities. TV viewers may like this lane, but not its seed.
397	398	mhannon	E	Great Buddha! I Can Smell You From Afar! Take a Bath, Will You?! is the Chinese title of this movie.
594	595	kaikeins	SN	How many muscles does a cat have in each ear?
771	772	thientran	E	What Academy Award-winning actress portrays Queen Elizabeth II in the British drama The Queen, which depicts a fictional account of the events following the death of Princess Diana?
582	583	kaikeins	H	The Adbusturs activist group, which initiated the Occupy Wall Street (OWS) series of demonstrations, is based in this country.
